city,CH,date,time,dayofweek,meter,busy,road,way,weather,video,num,cnt,car,bus,truck
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,001,1,14,0,14
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,002,1,14,0,16
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,003,1,23,0,21
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,004,1,12,2,17
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,005,1,17,2,18
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,006,1,16,4,17
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,007,1,13,2,7
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,008,1,4,1,2
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,009,1,10,1,5
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,010,1,11,0,2
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,011,1,7,1,1
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,012,1,7,0,4
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,013,1,5,0,5
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,014,1,17,0,8
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,015,1,17,1,5
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,016,1,22,1,7
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,017,1,13,1,12
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,018,1,15,1,16
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,019,1,23,1,8
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,020,1,4,1,7
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,021,1,9,0,9
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,022,1,10,0,6
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,023,1,1,0,6
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,024,1,6,1,5
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,025,1,12,0,6
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,026,1,24,1,11
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,027,1,22,1,12
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,028,1,17,0,15
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,029,1,33,1,9
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,030,1,21,2,10
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,031,1,26,2,6
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,032,1,7,1,3
Suwon,CH01,20200720,1700,MON,9m,NH,highway,TW5,sunny,FHD,033,1,6,2,3
